,city,order_date,source,order_id,booking_amount,actual_city_name,seller_locality,payment_mode,logistic_provider_name,fulfillment_type,package_type,sample_type,Radiography
2811,DELHI,06-01-2023,Exotel Lead,63b8227f49867a4c9ce77226,4250,DELHI,DWARKA SECTOR-19,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2812,Other,06-01-2023,Agent Upsell,63b823948e918bd620f50109,1128.8,Gorual,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2813,Other,06-01-2023,Agent Upsell,63b824398e918b0fedf50139,1128.8,Gorual,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2814,Other,06-01-2023,APP,63b830628e918b20fbf50432,1609,Tirupati,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2815,Delhi,06-01-2023,WEB_ORDER,63b8353e8e918b5c07f504e8,1310.3,New Delhi,LAJPAT NAGAR-1,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2816,Bengaluru,06-01-2023,Outbound Lead,63b838878e918b544ff50586,2427.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2817,Other,06-01-2023,Diagright-Base,63b83ad08e918b27fff50645,699.3,Lucknow,LUCKNOW,POD,Lifecell HA,AT-HOME,HA,other,HAother
2818,Bengaluru,06-01-2023,APP,63b83f7249867a6d7ee77792,1710,Bengaluru,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2819,Hyderabad,06-01-2023,APP,63b84a0649867a56c5e778f6,1514,Hyderabad,BEGUMPET,ONLINE,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2820,Hyderabad,06-01-2023,NOTIFICATION,63b84aef8e918b0001f5084f,80,Secunderabad,BEGUMPET,ONLINE,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2821,Delhi,06-01-2023,APP,63b84c798e918b873af50874,2099.3,Noida,DELHI,POD,Lifecell HA,AT-HOME,HA,other,HAother
2822,Bengaluru,06-01-2023,APP,63b84d888e918bdc58f50887,0,Bengaluru,BENGALURU,NO-PAYMENT-REQUIRED,lifecell-isolve,AT-HOME,HA,other,HAother
2823,Hyderabad,06-01-2023,APP,63b850b049867a3b0ce779fd,4947,Hyderabad,,POD,Lifecell HA,AT-HOME,HA,other,HAother
2824,Bengaluru,06-01-2023,WEB_ORDER,63b8562d8e918bd71bf50970,1199,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2825,Bengaluru,06-01-2023,APP,63b857c28e918b57eff509ac,0, ,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2826,Mumbai,06-01-2023,APP,63b862f38e918b7059f50aaa,1208,Mumbai,THANE WEST,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2827,Hyderabad,06-01-2023,APP,63b8647c8e918bb539f50ae4,2910,Hyderabad,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2828,Bengaluru,06-01-2023,APP,63b8683c49867a1d18e77c06,0, ,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2829,Delhi,07-01-2023,APP,63b8dedf8e918b0c37f50e8d,959,Delhi,DELHI,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2830,Other,07-01-2023,Opportunity,63b8df2349867a0b5be77f9f,968,Guwahati,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2831,Delhi,07-01-2023,Inbound-SEM,63b8df5449867afbb6e77fa5,449.3,New Delhi,DELHI,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2832,Other,07-01-2023,Agent Upsell,63b8df708e918b425df50eab,871.2,Guwahati,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2833,Other,07-01-2023,Agent Upsell,63b8dfbd8e918bb895f50eb9,871.2,Guwahati,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2834,Bengaluru,07-01-2023,APP,63b8e34349867ac6c7e78002,158,Bengaluru,,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2835,Other,07-01-2023,APP,63b8e38d8e918b5799f50f0a,1609,Guntur,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2836,Bengaluru,07-01-2023,Opportunity,63b8e5a249867a43f0e78068,3310.3,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2837,Other,07-01-2023,APP,63b8e6528e918b0635f50f68,1310,Guntur,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2838,Bengaluru,07-01-2023,Agent Upsell,63b8ea748e918b72cff50fe6,2828.8,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2839,Bengaluru,07-01-2023,APP,63b8ecc749867ad2eae781c4,700,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,RTPCR,other,RTPCRother
2840,Chennai,07-01-2023,APP,63b8f00b49867acd08e78259,1199.2,Chennai,CHENNAI,POD,Lifecell HA,AT-HOME,HA,other,HAother
2841,Bengaluru,07-01-2023,APP,63b8f16b49867a8615e782a3,2999,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2842,Mumbai,07-01-2023,APP,63b8f5718e918b5fc4f511bf,360,Mumbai,,ONLINE,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2843,Other,07-01-2023,APP,63b8f6588e918bd1aef511ef,2110,Chapra,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2844,Other,07-01-2023,Support,63b8fa218e918bc255f512f5,1110.3,Kanuparthipadu,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2845,Other,07-01-2023,APP,63b8fcb649867a49f8e784f4,1509,Surat,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2846,Mumbai,07-01-2023,HealthifyMe,63b8feb849867a25d6e78577,0,Mumbai,THANE WEST,POD,Lifecell HA,AT-HOME,HA,other,HAother
2847,BENGALURU,07-01-2023,Inbound-SEM,63b900f18e918b5955f51473,1280,BENGALURU,YELAHANKA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2848,Hyderabad,07-01-2023,APP,63b901808e918b064ff514b8,3747,Serilingampalle (M),,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2849,Pune,07-01-2023,APP,63b9070049867ab062e786d3,1399.3, ,KOTHRUD,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2850,Mumbai,07-01-2023,Opportunity,63b90aca8e918bccd3f516cb,1310,Mumbai,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2851,Hyderabad,07-01-2023,APP,63b90b4a49867a6e94e787ea,2797, ,,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2852,Mumbai,07-01-2023,Agent Upsell,63b90bfe49867a118de7883a,1179,Mumbai,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2853,Hyderabad,07-01-2023,Post-PD,63b90c578e918b326df51737,2809.3,Hyderabad,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2854,Mumbai,07-01-2023,APP,63b90d958e918be7d0f51789,1099,Mumbai,THANE WEST,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2855,BENGALURU,07-01-2023,Outbound Lead,63b90e9a8e918b54eff517dc,1530,BENGALURU,HSR LAYOUT,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2856,Bengaluru,07-01-2023,APP,63b911c58e918b2baaf51882,2999,Bengaluru,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2857,Delhi,07-01-2023,Inbound-SEM,63b912ce8e918be967f518aa,0,Ghaziabad,GURGOAN,POD,Lifecell HA,AT-HOME,HA,other,HAother
2858,PUNE,07-01-2023,Inbound-SEM,63b9171b49867a05dbe78a83,3500,PUNE,MANGALWAR PETH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2859,PUNE,07-01-2023,Inbound-SEM,63b917c18e918b8450f5199a,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2860,Other,07-01-2023,App Upgrade,63b9182049867a15e6e78ac2,1909.3, ,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2861,PUNE,07-01-2023,Inbound-SEM,63b9192449867a8382e78aed,1500,PUNE,BANER,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2862,Mumbai,07-01-2023,APP,63b919ca49867a2000e78b42,765.3, ,,POD,Thyrocare-DSA,AT-HOME,RTPCR,other,RTPCRother
2863,Bengaluru,07-01-2023,APP,63b91a618e918b4497f51a0f,3209,Bengaluru,BENGALURU,ONLINE,Promiso RTPCR,AT-HOME,HA,other,HAother
2864,Bengaluru,07-01-2023,APP,63b91b268e918b582bf51a4b,2058.8,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2865,Other,07-01-2023,Diagright-Base,63b91b798e918b2f5ff51a70,1204.45,Guwahati,INDIA,POD,Lifecell HA,AT-HOME,HA,other,HAother
2866,Other,07-01-2023,Diagright-Upsell,63b91bb249867a3ff0e78bc9,1204.45,Guwahati,INDIA,POD,Lifecell HA,AT-HOME,HA,other,HAother
2867,Other,07-01-2023,Support,63b91c328e918b62eaf51a94,2099.3,Khorda,INDIA,POD,Lifecell HA,AT-HOME,HA,other,HAother
2868,Bengaluru,07-01-2023,APP,63b91c368e918b2934f51a99,2303.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,RTPCR,other,RTPCRother
2869,DELHI,07-01-2023,Exotel Lead,63b91dea49867a14bbe78c53,2250,DELHI,MOTI BAGH,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2870,Bengaluru,07-01-2023,WEB_ORDER,63b91ef449867a237fe78c9e,1310.3,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2871,Chennai,07-01-2023,APP,63b91ffc49867a6336e78cde,4447,Chennai,,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2872,GURUGRAM,07-01-2023,Exotel Lead,63b9242e8e918bc20ef51c4e,850,GURUGRAM,SECTOR 15,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2873,Other,07-01-2023,Inbound-SEM,63b926b349867a83e3e78e53,1610.3,Guwahati,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2874,Bengaluru,07-01-2023,APP,63b9282c49867ae763e78eab,1709, ,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2875,Bengaluru,07-01-2023,Opportunity,63b9284149867a16cce78eb2,710.3,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2876,Bengaluru,07-01-2023,App Upgrade,63b92cc28e918b14eff51e07,1710.3, ,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2877,Other,07-01-2023,APP,63b92da18e918bb47bf51e34,349.8, ,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2878,BENGALURU,07-01-2023,Inbound-SEM,63b930ec49867a61cee790a1,5132.5,BENGALURU,JAYANGAR III BLOCK,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2879,Other,07-01-2023,HealthifyMe,63b9318e8e918b4288f51f0d,0,Jamshedpur,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2880,MUMBAI,07-01-2023,APP,63b931e649867a0502e790cb,2889,MUMBAI,CHEMBUR,ONLINE,,AT-CENTER,HA,other,HAother
2881,Delhi,07-01-2023,App Upgrade,63b933578e918b55b1f51f7a,1899.4,Ghaziabad,GURGOAN,POD,Lifecell HA,AT-HOME,HA,other,HAother
2882,Other,07-01-2023,APP,63b935028e918b005af51ff3,1210,Kadapa,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2883,Bengaluru,07-01-2023,Diagright-Base,63b9387c8e918bc5e0f5208b,1699.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2884,Bengaluru,07-01-2023,App Upgrade,63b939288e918b06f5f520d3,2989.3,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2885,Bengaluru,07-01-2023,APP,63b9397a49867a6821e79263,2549,Kasavanahalli,BENGALURU,ONLINE,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2886,Other,07-01-2023,Inbound Lead,63b939ba8e918b2215f520ec,1289.3,Gandhinagar,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2887,Mumbai,07-01-2023,Opportunity,63b93b4e8e918bf5c1f52122,2099.3,Mumbai,THANE WEST,POD,Lifecell HA,AT-HOME,HA,other,HAother
2888,Mumbai,07-01-2023,Agent Upsell,63b93be049867a5c9ee792b2,1799.45,Mumbai,THANE WEST,POD,Lifecell HA,AT-HOME,HA,other,HAother
2889,Other,07-01-2023,Opportunity,63b93cf849867a35fce792cf,2668.3,Muzaffarnagar,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2890,Bengaluru,07-01-2023,APP,63b9401d49867a4653e7937e,0, ,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2891,Hyderabad,07-01-2023,APP,63b941628e918b6427f5220d,968,Hyderabad,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2892,Bengaluru,07-01-2023,Opportunity,63b9431849867a5816e79432,2659.5,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2893,Bengaluru,07-01-2023,Agent Upsell,63b943598e918b3063f52245,2659.5,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2894,Delhi,07-01-2023,APP,63b945b78e918b4deef52296,310.3,Semri Khojra,GURGOAN,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2895,Pune,07-01-2023,Inbound Lead,63b9466749867a8682e794c9,680.3,Pune,KOTHRUD,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2896,Bengaluru,07-01-2023,Outbound Lead,63b949a649867a10fbe79557,337.8,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2897,Bengaluru,07-01-2023,Opportunity,63b94c7949867ac7dbe795c8,4823.55,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2898,Bengaluru,07-01-2023,Agent Upsell,63b94c878e918b08daf52399,3075.55,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2899,Other,07-01-2023,APP,63b94d038e918be417f523b6,315.8,Prayagraj,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2900,NAVI MUMBAI,07-01-2023,Exotel Lead,63b94fc249867a6d9ae79687,10437.5,NAVI MUMBAI,VASHI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2901,Bengaluru,07-01-2023,App Upgrade,63b950678e918b06ccf52412,1299.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2902,Bengaluru,07-01-2023,Inbound Lead,63b952288e918bff39f52470,1331.3,Yamare,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2903,Delhi,07-01-2023,Inbound-SEM,63b952408e918b7ab8f52477,0,New Delhi,NCR,POD,lifecell-isolve 2,AT-HOME,HA,other,HAother
2904,BENGALURU,07-01-2023,Inbound-SEM,63b9547e49867a26c1e7974c,3557.5,BENGALURU,KORAMANGALA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2905,Other,07-01-2023,App Upsell,63b954b749867a68ffe79754,2619, ,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2906,Bengaluru,07-01-2023,Inbound-SEM,63b9550749867a7646e79769,0,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2907,Kolkata,07-01-2023,Inbound-SEM,63b955bb8e918b5ca8f52525,0,Kolkata,PARK STREET AREA,POD,Lifecell HA,AT-HOME,HA,other,HAother
2908,Bengaluru,07-01-2023,APP,63b955d48e918b13acf5252d,0, ,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2909,Bengaluru,07-01-2023,APP,63b956508e918b205bf52545,0, ,,NO-PAYMENT-REQUIRED,Thyrocare-DSA,AT-HOME,HA,other,HAother
2910,GURUGRAM,07-01-2023,Inbound-SEM,63b9575a49867a810de797f7,900,GURUGRAM,SECTOR 15,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2911,Bengaluru,07-01-2023,APP,63b958e38e918b9579f525a5,500.3,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2912,Bengaluru,07-01-2023,APP,63b959228e918bee0ff525b3,428,Bengaluru,BENGALURU,ONLINE,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2913,Pune,07-01-2023,APP,63b959ed49867a515de7984f,699.3,Pune,KOTHRUD,POD,Lifecell HA,AT-HOME,HA,other,HAother
2914,COIMBATORE,07-01-2023,Outbound Lead,63b95ac049867a54bde79885,3600,COIMBATORE,R.S. PURAM,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2915,Pune,07-01-2023,APP,63b95b1249867a4500e79890,1498,Pune,KOTHRUD,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2916,Hyderabad,07-01-2023,APP,63b95d0949867a8149e7990d,375.3,Hyderabad,BEGUMPET,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2917,DELHI,07-01-2023,Outbound Lead,63b95e6049867a6d1ae79956,3510,DELHI,DWARKA SECTOR-10 METRO STATION,ONLINE,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2918,Hyderabad,07-01-2023,APP,63b9605149867a0a7ce7998a,520,Hyderabad,BEGUMPET,ONLINE,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2919,MUMBAI,07-01-2023,Inbound-SEM,63b962fe49867adc20e799ff,4400,MUMBAI,PRABHADEVI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2920,Bengaluru,07-01-2023,APP,63b962ff8e918b36d4f527a6,1299,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2921,Other,07-01-2023,App Upsell,63b9633f8e918bb898f527c5,450,Kadapa,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2922,Other,07-01-2023,Diagright-Base,63b9636c49867a7ad7e79a1b,1610.3,Guwahati,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2923,NOIDA,07-01-2023,Exotel Lead,63b9645049867a134de79a3c,720,NOIDA,SECTOR 49,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2924,DELHI,07-01-2023,APP,63b965ad8e918b45cef52852,1200,DELHI,DWARKA SECTOR-10 METRO STATION,ONLINE,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2925,Delhi,07-01-2023,APP,63b965fd8e918b718ef52870,1125.3,Noida,DELHI,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2926,Hyderabad,07-01-2023,App Upgrade,63b967d98e918b5da2f528b5,1048,Hyderabad,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2927,Bengaluru,07-01-2023,APP,63b9681e49867aeeb5e79ad2,889,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2928,PUNE,07-01-2023,Inbound-SEM,63b9685d8e918b7353f528ef,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2929,Hyderabad,07-01-2023,APP,63b96a088e918b5dcaf52934,2117,Hyderabad,,ONLINE,Lifecell HA,AT-HOME,HA,other,HAother
2930,Pune,07-01-2023,APP,63b96ceb49867a69ace79bdc,2979.4,Pune,KOTHRUD,POD,Lifecell HA,AT-HOME,HA,other,HAother
2931,Pune,07-01-2023,Diagright-Base,63b96cf049867a788de79be3,1699.3,Pune,KOTHRUD,POD,Lifecell HA,AT-HOME,HA,other,HAother
2932,Delhi,07-01-2023,APP,63b96ec049867aa548e79c4e,1899.3, ,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2933,Other,07-01-2023,APP,63b96ecb8e918b3b24f529f9,1347,Bhopal,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2934,Bengaluru,07-01-2023,App Upgrade,63b96fab8e918bc40af52a20,2979.4,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2935,MUMBAI,07-01-2023,Inbound-SEM,63b96fbe8e918b7247f52a32,4840,MUMBAI,ANDHERI EAST,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2936,Bengaluru,07-01-2023,APP,63b970598e918b9976f52a63,0,Bengaluru,,NO-PAYMENT-REQUIRED,Thyrocare-DSA,AT-HOME,HA,other,HAother
2937,Bengaluru,07-01-2023,APP,63b9724a8e918b500df52ac7,3209,Bengaluru,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2938,Bengaluru,07-01-2023,APP,63b973018e918b2396f52b00,2910,Bengaluru,,ONLINE,Thyrocare-DSA,AT-HOME,HA,other,HAother
2939,Bengaluru,07-01-2023,APP,63b9737c49867a3099e79d84,500.3,Bengaluru,,POD,Thyrocare-DSA,AT-HOME,Lab-Test,other,Lab-Testother
2940,Delhi,07-01-2023,APP,63b973d949867a168ee79d92,1450,Noida,LAJPAT NAGAR-1,ONLINE,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2941,Chennai,07-01-2023,HealthifyMe,63b9747f8e918bea2bf52b41,0,Chennai,CHENNAI,POD,Lifecell HA,AT-HOME,HA,other,HAother
2942,Bengaluru,07-01-2023,Opportunity,63b9768f8e918b4dd3f52b84,1110.3,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2943,Bengaluru,07-01-2023,Agent Upsell,63b976ff8e918b76f1f52b98,958.8,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2944,Bengaluru,07-01-2023,Agent Upsell,63b9777649867aeebee79e4f,958.8,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2945,Bengaluru,07-01-2023,Agent Upsell,63b977c649867a82f2e79e62,958.8,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,HA,other,HAother
2946,Kolkata,07-01-2023,APP,63b97a178e918b108df52c58,1110.3,Kolkata,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2947,Delhi,07-01-2023,PDF-VIEW,63b97aac8e918b6b8ef52c7e,150,New Delhi,DELHI,ONLINE,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2948,Mumbai,07-01-2023,APP,63b97b5949867a3c98e79ef5,1110.3,Mumbai,,POD,Thyrocare-DSA,AT-HOME,HA,other,HAother
2949,Delhi,07-01-2023,APP,63b97c1549867abb9de79f26,330.3,Gurugram,NCR,POD,lifecell-isolve 2,AT-HOME,Lab-Test,other,Lab-Testother
2950,BENGALURU,07-01-2023,Outbound Lead,63b97d6049867a2febe79f66,640,BENGALURU,YELAHANKA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2951,Bengaluru,07-01-2023,PDF-VIEW,63b981298e918b2b1af52d99,2046,Bengaluru,BENGALURU,ONLINE,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2952,Hyderabad,07-01-2023,Inbound-SEM,63b983768e918b0924f52e30,1925.3,Hyderabad,BEGUMPET,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
2953,Bengaluru,07-01-2023,PDF-VIEW,63b985fb49867a5b45e7a0ba,434,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2954,Bengaluru,07-01-2023,APP,63b9877c8e918b6844f52ee0,749.3,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2955,Bengaluru,07-01-2023,APP,63b987958e918baff3f52eee,1330,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2956,BENGALURU,07-01-2023,Opportunity,63b987de8e918b5693f52f08,960,BENGALURU,JAYANGAR III BLOCK,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2957,Bengaluru,07-01-2023,APP,63b9894849867a4b10e7a14d,428.3,Bengaluru,BENGALURU,POD,Promiso RTPCR,AT-HOME,Lab-Test,other,Lab-Testother
2958,Bengaluru,07-01-2023,WEB_ORDER,63b98a3b49867a4ed4e7a190,700.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,RTPCR,other,RTPCRother
2959,BENGALURU,07-01-2023,Outbound Lead,63b98acd49867a66a7e7a1a6,3415,BENGALURU,INDIRA NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2960,Bengaluru,07-01-2023,APP,63b98e3e8e918b06aaf53037,1598,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2961,Bengaluru,07-01-2023,APP,63b98e748e918bae36f53043,1470,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2962,Bengaluru,07-01-2023,APP,63b98edf8e918b211ff5305d,2398,Bengaluru,,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2963,BENGALURU,07-01-2023,Opportunity,63b98f178e918b6af4f53064,4200,BENGALURU,WHITEFIELD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2964,Bengaluru,07-01-2023,APP,63b997fe49867a257de7a48c,1399,Bengaluru,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2965,Bengaluru,07-01-2023,APP,63b99e498e918b8460f5326c,1699.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,HA,other,HAother
2966,BENGALURU,07-01-2023,APP,63b9adad8e918b9ddcf533f5,950,BENGALURU,KORAMANGALA,ONLINE,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
2967,Delhi,08-01-2023,APP,63b9c14c49867a497be7a888,1699.3,Noida,NOIDA,POD,Lifecell Now,AT-HOME,HA,other,HAother
2968,Pune,08-01-2023,APP,63b9c80049867a2a0be7a8d0,1170, ,KOTHRUD,ONLINE,Lifecell Now,AT-HOME,HA,other,HAother
2969,Bengaluru,08-01-2023,APP,63b9cf1a8e918bf289f535d3,1698, ,BENGALURU,ONLINE,lifecell-isolve,AT-HOME,HA,other,HAother
2970,Bengaluru,08-01-2023,APP,63b9d6a28e918bd607f53607,850.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,RTPCR,other,RTPCRother
2971,Hyderabad,08-01-2023,Phlebo Upgrade,63ba1af949867a913de7aa0c,5218.7,Kothaguda,,POD,Lifecell HA,AT-HOME,HA,other,HAother
2972,Delhi,08-01-2023,Phlebo Upgrade,63ba204149867a7bf3e7aa3c,2659.5,New Delhi,DELHI,POD,Lifecell HA,AT-HOME,HA,other,HAother
2973,Bengaluru,08-01-2023,Phlebo Upsell,63ba21c549867ae144e7aa58,300.3,Bengaluru,BENGALURU,POD,lifecell-isolve,AT-HOME,Lab-Test,other,Lab-Testother
2974,Hyderabad,08-01-2023,Phlebo Upsell,63ba23bc8e918b2e20f53784,349,Hyderabad,BEGUMPET,POD,Lifecell HA,AT-HOME,Lab-Test,other,Lab-Testother
